Ipulse / pA	spike times / ms
-12	[]
-5	[]
-2	[]
-1	[98.678, 122.964, 147.262, 171.555, 195.845, 220.134, 244.422, 268.709, 292.995, 317.28000000000003, 341.565, 365.849, 390.133, 414.417, 438.7, 462.983, 487.26599999999996, 512.2090000000001]
0	[63.648999999999994, 83.87899999999999, 104.135, 124.387, 144.63799999999998, 164.887, 185.135, 205.383, 225.63, 245.876, 266.122, 286.368, 306.614, 326.85900000000004, 347.10400000000004, 367.349, 387.593, 407.83799999999997, 428.08299999999997, 448.327, 468.571, 488.816, 509.05999999999995]
5	[30.553, 43.872, 57.202000000000005, 70.533, 83.863, 97.193, 110.52199999999999, 123.851, 137.18, 150.50900000000001, 163.83800000000002, 177.166, 190.495, 203.823, 217.151, 230.47899999999998, 243.807, 257.135, 270.463, 283.791, 297.119, 310.446, 323.774, 337.10200000000003, 350.429, 363.757, 377.085, 390.412, 403.74, 417.067, 430.39500000000004, 443.722, 457.05, 470.377, 483.705, 497.032, 510.436]
10	[23.212, 34.165, 45.102999999999994, 56.046, 66.988, 77.931, 88.87299999999999, 99.815, 110.75699999999999, 121.699, 132.64100000000002, 143.583, 154.525, 165.467, 176.40900000000002, 187.351, 198.292, 209.234, 220.17600000000002, 231.117, 242.059, 253.0, 263.942, 274.884, 285.825, 296.76599999999996, 307.70799999999997, 318.649, 329.591, 340.532, 351.474, 362.41499999999996, 373.356, 384.29799999999994, 395.23900000000003, 406.18100000000004, 417.122, 428.06300000000005, 439.005, 449.946, 460.887, 471.829, 482.77, 493.711, 504.653]
15	[19.836, 29.500999999999998, 39.143, 48.794, 58.446, 68.098, 77.75, 87.40299999999999, 97.055, 106.707, 116.35900000000001, 126.01200000000001, 135.66400000000002, 145.316, 154.969, 164.62099999999998, 174.27300000000002, 183.925, 193.577, 203.23, 212.88199999999998, 222.53400000000002, 232.186, 241.838, 251.491, 261.14300000000003, 270.795, 280.447, 290.099, 299.751, 309.404, 319.056, 328.708, 338.36, 348.012, 357.664, 367.316, 376.969, 386.621, 396.27299999999997, 405.92499999999995, 415.577, 425.22900000000004, 434.88100000000003, 444.534, 454.186, 463.83799999999997, 473.49, 483.142, 492.794, 502.44599999999997]
20	[17.868, 26.701, 35.524, 44.364, 53.205000000000005, 62.047, 70.89, 79.732, 88.575, 97.418, 106.261, 115.104, 123.947, 132.79, 141.633, 150.476, 159.319, 168.162, 177.005, 185.848, 194.691, 203.534, 212.377, 221.22, 230.063, 238.906, 247.749, 256.593, 265.436, 274.279, 283.12199999999996, 291.965, 300.808, 309.652, 318.49499999999995, 327.338, 336.181, 345.024, 353.868, 362.711, 371.554, 380.397, 389.23999999999995, 398.084, 406.92699999999996, 415.77, 424.613, 433.456, 442.3, 451.14300000000003, 459.986, 468.829, 477.673, 486.516, 495.359, 504.20200000000006]
25	[16.569, 24.812, 33.077000000000005, 41.37, 49.666000000000004, 57.963, 66.261, 74.559, 82.858, 91.156, 99.455, 107.753, 116.052, 124.351, 132.64999999999998, 140.94899999999998, 149.248, 157.547, 165.846, 174.14499999999998, 182.444, 190.743, 199.042, 207.341, 215.641, 223.94, 232.239, 240.538, 248.838, 257.137, 265.436, 273.736, 282.03499999999997, 290.33500000000004, 298.634, 306.933, 315.233, 323.532, 331.832, 340.13100000000003, 348.431, 356.73, 365.03000000000003, 373.329, 381.629, 389.928, 398.228, 406.52700000000004, 414.827, 423.126, 431.426, 439.72499999999997, 448.02500000000003, 456.324, 464.62399999999997, 472.923, 481.223, 489.52299999999997, 497.822, 506.12199999999996]
